imagem,contagem_detectada,contagem_gabarito,erro_absoluto,erro_percentual,iou,fp,fn,tp
jw-15min 1,21,29,8,27.59,0.2874,21,29,0
jw-15min 2,14,24,10,41.67,0.3701,14,24,0
jw-15min 3,15,27,12,44.44,0.3591,15,27,0
jw-15min 4,26,32,6,18.75,0.1397,25,31,1
jw-15min 5,21,38,17,44.74,0.2424,21,37,0
jw-1h 1,20,36,16,44.44,0.1403,20,36,0
jw-1h 2,15,23,8,34.78,0.2921,15,23,0
jw-1h 3,10,24,14,58.33,0.3762,10,24,0
jw-1h 4,6,21,15,71.43,0.2086,6,21,0
jw-1h 5,11,23,12,52.17,0.3172,11,23,0
jw-24h 1,17,22,5,22.73,0.1987,17,22,0
jw-24h 2,20,23,3,13.04,0.2225,20,23,0
jw-24h 3,19,23,4,17.39,0.1345,19,23,0
jw-24h 4,23,28,5,17.86,0.3527,23,28,0
jw-24h 5,20,20,0,0.0,0.3099,20,20,0
jw-2h 1,19,34,15,44.12,0.1389,19,34,0
jw-2h 2,22,31,9,29.03,0.1099,22,31,0
jw-Kontrolle1,14,18,4,22.22,0.3418,14,18,0
jw-Kontrolle2,20,19,1,5.26,0.3227,20,19,0
jw-Kontrolle3,16,22,6,27.27,0.2656,15,21,1
